,year,conf_level,Intersection
983,2023,high,No intersection
984,2023,high,No intersection
985,2023,high,No intersection
986,2023,high,No intersection
987,2024,low,No intersection
988,2023,high,No intersection
989,2023,high,No intersection
990,2023,high,No intersection
991,2023,high,No intersection
992,2023,high,No intersection
993,2024,low,No intersection
994,2023,high,No intersection
995,2023,high,No intersection
996,2023,high,No intersection
997,2023,high,No intersection
998,2023,high,No intersection
999,2024,high,No intersection
1000,2023,high,No intersection
1001,2023,high,No intersection
1002,2023,high,No intersection
1003,2023,high,No intersection
1004,2023,high,No intersection
1005,2023,high,No intersection
1006,2023,high,No intersection
1007,2023,high,No intersection
1008,2023,high,No intersection
1009,2023,high,No intersection
1010,2023,high,No intersection
1011,2023,high,No intersection
1012,2023,high,No intersection
1013,2023,high,No intersection
1014,2024,low,No intersection
1015,2023,high,No intersection
1016,2023,high,No intersection
1017,2023,high,No intersection
1018,2023,high,No intersection
1019,2023,high,No intersection
1020,2023,high,No intersection
1021,2023,high,No intersection
1022,2023,high,No intersection
1023,2023,high,No intersection
1024,2023,high,No intersection
1025,2023,high,No intersection
1026,2023,high,No intersection
1027,2023,high,No intersection
1028,2023,high,No intersection
1029,2023,high,No intersection
1030,2023,high,No intersection
1031,2023,high,No intersection
1032,2023,high,No intersection
1033,2023,high,No intersection
1034,2023,high,No intersection
1035,2023,high,No intersection
1036,2023,high,No intersection
1037,2023,high,No intersection
1038,2023,high,No intersection
1039,2023,high,No intersection
1040,2023,high,No intersection
1041,2023,high,No intersection
1042,2023,high,No intersection
1043,2023,high,No intersection
1044,2023,high,No intersection
1045,2023,high,No intersection
1046,2023,high,No intersection
1047,2023,high,No intersection
1048,2023,high,No intersection
1049,2021,high,No intersection
1050,2021,high,No intersection
1051,2021,high,No intersection
1052,2021,high,No intersection
1053,2021,high,No intersection
1054,2021,high,No intersection
1055,2021,high,No intersection
1056,2021,high,No intersection
1057,2021,high,No intersection
1058,2021,high,No intersection
1059,2023,high,No intersection
1060,2023,high,No intersection
1061,2023,high,No intersection
1062,2021,high,No intersection
1063,2021,high,No intersection
1064,2021,high,No intersection
1065,2021,high,No intersection
1066,2023,high,No intersection
1067,2023,high,No intersection
1068,2023,high,No intersection
1069,2023,high,No intersection
1070,2023,high,No intersection
1071,2024,high,No intersection
1072,2021,high,No intersection
1073,2021,high,No intersection
1074,2021,high,No intersection
1075,2023,high,No intersection
1076,2023,high,No intersection
1077,2023,high,No intersection
1078,2023,high,No intersection
1079,2023,high,No intersection
1080,2023,high,No intersection
1081,2021,high,No intersection
1082,2021,high,No intersection
1083,2021,high,No intersection
1084,2023,high,No intersection
1085,2023,high,No intersection
1086,2023,high,No intersection
1087,2023,high,No intersection
1088,2023,high,No intersection
1089,2023,high,No intersection
1090,2023,high,No intersection
1091,2023,high,No intersection
1092,2023,high,No intersection
1093,2023,high,No intersection
1094,2023,high,No intersection
1095,2023,high,No intersection
1096,2023,high,No intersection
1097,2023,high,No intersection
1098,2023,high,No intersection
1099,2023,high,No intersection
1100,2023,high,No intersection
1101,2023,high,No intersection
1102,2023,high,No intersection
1103,2024,low,No intersection
1104,2023,high,No intersection
1105,2023,high,No intersection
1106,2023,high,No intersection
1107,2023,high,No intersection
1108,2023,high,No intersection
1109,2023,high,No intersection
1110,2023,high,No intersection
1111,2024,low,No intersection
1112,2024,low,No intersection
1113,2024,high,No intersection
1114,2023,high,No intersection
1115,2023,high,No intersection
1116,2023,high,No intersection
1117,2023,high,No intersection
1118,2023,high,No intersection
1119,2023,high,No intersection
1120,2023,high,No intersection
1121,2023,high,No intersection
1122,2023,high,No intersection
1123,2023,high,No intersection
1124,2023,high,No intersection
1125,2023,high,No intersection
1126,2023,high,No intersection
1127,2023,high,No intersection
1128,2023,high,No intersection
1129,2023,high,No intersection
1130,2023,high,No intersection
1131,2023,high,No intersection
1132,2023,high,No intersection
1133,2023,high,No intersection
1134,2023,high,No intersection
1135,2023,high,No intersection
1136,2023,high,No intersection
1137,2023,high,No intersection
1138,2023,high,No intersection
1139,2023,high,No intersection
1140,2023,high,No intersection
1141,2023,high,No intersection
1142,2023,high,No intersection
1143,2023,high,No intersection
1144,2023,high,No intersection
1145,2023,high,No intersection
